model,dim,negs,MRR,Hits@10
TransE,50,5,0.055695153340151037,0.15517241379310345
TransE,50,20,0.04718020562488623,0.126657824933687
TransE,100,5,0.039995348366496646,0.1240053050397878
TransE,100,20,0.04674560628227983,0.123342175066313
DistMult,50,5,0.0978626697655483,0.253315649867374
DistMult,50,20,0.09393516073788795,0.2539787798408488
DistMult,100,5,0.10410097963198009,0.27254641909814326
DistMult,100,20,0.09463989661214739,0.26525198938992045
ComplEx,50,5,0.10057529353044,0.2692307692307692
ComplEx,50,20,0.09333886919722781,0.2572944297082228
ComplEx,100,5,0.10742663700000693,0.28580901856763924
ComplEx,100,20,0.10010909280278556,0.2718832891246684