conferenceID,conferenceName,issn,url
509eb2ed-f25a-466e-912f-c2ff733a88cb,Studienarchiv Umweltgeschichte,0949-7366,http://www.iugr.hs-nb.de/index.php?id=451
5c71b526-1598-4434-a92b-e43d3f77ceb4,Historikeren,1891-6600,
b832024e-ad6e-4123-8ff0-21595ef6bd85,Argus,0315-9930,http://www.cbpq.qc.ca/publications/argus/argus.html
c982de0b-7111-4ed2-8bb4-4c0e0a66b171,ACI Journal Proceedings,0002-8061,https://www.concrete.org/
8a6faaef-eb92-4dcb-8f9b-065388aee977,Religions,2077-1444,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-190623
3656c155-e0de-49f0-b438-aa75162345df,Ideas / from the National Humanities Center,1068-0454,
7039bd1c-5d23-4c62-8094-08a3cf534e4a,International Conference on Internet Computing,,
1a42084f-2520-4553-b3e3-ecc21580fb36,International and Cultural Psychology,1571-5507,
98d5a930-8884-44eb-8182-92f9b4db4d13,Magna Graecia: rassegna di archeologia storia arte attualita,0024-9955,
92d173c4-1b82-4dc1-b5c6-04812c9531c0,Z Teorii i Praktyki Dydaktycznej Jezyka Polskiego,0208-5011,https://www.ceeol.com/search/journal-detail?id=219
cce4d150-8211-4378-a9ef-a234ec19414c,ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,,http://www.podc.org/
a87210f6-84f9-4317-a00c-3286ce4f3dec,Beiträge zur Neueren Geschichte Österreichs,0947-2355,
08b9ee40-e346-4e61-b6bf-f662f4a1a224,TÄ?rÄ«kh-i farhang va tamaddun-i islÄ?mÄ«,2252-0538,http://tarikh.maaref.ac.ir/
fa2ab1bb-9ba2-4d44-856b-d5e08ae7f5d8,CEMOTI,0764-9878,https://journals.openedition.org/cemoti/
09c7f3b6-8e21-427f-8e2e-c057aab16021,MAZOWSZE Studia Regionalne,1689-4774,https://mazowszestudiaregionalne.pl/
052357a7-d8af-4014-9581-ddb0c5287f30,Organisational Studies and Innovation Review (OSIR),2059-2256,http://mbacademy.org.uk/index.php/home
e3ef2d76-c11f-4623-9d64-f1e66949c4c8,Jurnal Akademi Pariwisata Medan,1858-2842,http://ejurnal.poltekparmedan.ac.id/index.php/jiapm
14d8c1cf-1b6f-4b54-a0d7-1a0292ca8818,Revista de investigaciones folclóricas,0327-0734,https://www.equiponaya.com.ar/ifa/publicaciones/rif_index.htm
fa40037d-4e24-4c44-b242-102dc6f49975,Ojo que piensa. Revista virtual de cine iberoamericano,1665-7047,http://www.elojoquepiensa.net/09/
9c1df18e-e881-451c-a65c-c025994586a6,Small Enterprise Research,1175-0979,http://www.tandfonline.com/loi/rser20
7e0a7d17-f248-4159-b79d-180bbd0192ea,Bibale,2492-8097,http://bibale.irht.cnrs.fr/
1054fc67-985d-4e07-9053-0d2a11b737d9,Karpatsʹkì Matematičnì Publìkacìï,2075-9827,https://journals.pnu.edu.ua/index.php/cmp
4fcf07ac-b526-496d-bdab-d5c205fa4b2f,Religion and Ethics,1346-8219,
9fc18e01-5d89-46e2-b07c-7ccafee581d0,Children and Young People Living with HIV/AIDS,2366-6064,
aa9e4cde-6486-4feb-81c8-0116b80e1ed8,Jurnal Al Ulum LPPM Universitas Al Washliyah Medan,2338-5391,
ca969e90-7ef2-4abe-b784-06c878323626,L'Abeille,1256-2807,https://gallica.bnf.fr/ark:/12148/cb32680594w/date
d847bb7d-6931-4971-9cd1-00926b48a046,"Research Reports Of National Institute Of Technology (KOSEN), Kumamoto College",1884-6734,
aba0bc6c-236a-4dc0-8a43-c204c07832e9,Pasado Abierto,2451-6961,https://fh.mdp.edu.ar/revistas/index.php/pasadoabierto
68352aa5-eb25-45da-8e71-db5584f32413,Fiscal responsibility in constitutional democracy,0924-4700,
54751dfa-f46b-4d01-a484-2aa4048ecbcc,Asymmetric Mannich Reaction of a Glycine Derivative,2050-0432,
dac431f2-a90d-4d4b-9b0e-bf529e415b0d,International Workshop on Statistical Atlases and Computational Models of the Heart,,
917cc4de-aa9a-4194-b564-f89333a8db95,"La Ricerca scientifica. 2. ser., pt. 2: Rendiconti. Sezione B: Biologica",0556-9699,
48d9275a-fdc4-45eb-bd75-8e7604184fcb,Jurnal Penamas Adi Buana,2622-5727,http://jurnal.unipasby.ac.id/index.php/penamas
17f5c76b-9082-4140-9040-1c565a8bce21,Varia. Universitetets oldsaksamling,0333-1296,
2d8506d0-2f32-49f8-9a6c-a46afc4c2403,Silsilaẗ al-muḥāḍarāt al-ʿilmiyyaẗ,2410-6666,http://jilrc.com/scientific-lectures-serie/
f79f7e4f-a3ad-42a1-a350-eeb8af6d3079,Sociološki Pregled,0085-6320,http://scindeks.ceon.rs/journalDetails.aspx?issn=0085-6320
4a4a08cb-84cf-4c26-ba67-b2c79c48b9ed,Pizhūhish-i āb-i Īrān,2008-1235,
4824c0e1-d5cf-458e-9da2-46bfeba07d68,The National Jewish monthly,0027-9552,
d4aec99e-d36b-4c3d-8f99-c2374260131b,Arab insight. Bringing Middle Eastern perspectives to Washington,1936-8984,http://www.worldsecurityinstitute.org/showpublications.cfm?id=152
8e0a6567-db09-4afa-8ec2-90f58d5cc695,Chaos - Skandinavisk tidsskrift for religionshistoriske studier,0108-4453,http://www.forlagetchaos.dk/e-tidsskrift/
47335c4e-3625-4597-9e0f-6cc1812afa3b,Geoscientist,0961-5628,http://www.geolsoc.org.uk/gsl/geoscientist
513b7832-98bf-4f66-b4b6-181edc9647ee,Educational Management Abstracts,1467-582X,
367e9fe3-7f40-437f-b6d5-ceddc21b33c5,Vienna Conference on Human Compter Interaction,,
b2907896-4aaa-4d46-a4bb-8cff1d939243,Current Nanomedicine,2468-1873,https://benthamscience.com/journals/current-nanomedicine/
3ad06da2-9dec-47f0-8d75-44149453c3a4,Aktuelle Endokrinologie,0943-1837,
795c40d0-0ed3-45a7-87c0-59efa03a53fa,OECD Economic Surveys: Denmark,1995-3151,
79fe141b-f33f-4557-ad8d-2bec1d56fc09,Muhandisī-i sāzah,2345-6310,http://civil-strj.iau-maragheh.ac.ir/
c7da0a3b-7465-4d65-b728-1536a5034239,Der Zahnarzt; Colloquium med. dent,0044-1678,http://opacplus.bsb-muenchen.de/title/200069-6
5414a701-03d5-4ec9-a652-bcca79578c7b,Carnets de Géographes,2107-7266,https://www.carnetsdegeographes.org/
9e327eb2-d6a4-4b59-9345-d9c171528ecc,Tập san Khoa học và kỹ thuật trường Đại học Bình Dương,1859-4336,
e9162c89-27bf-4154-9363-cd4752983680,Natural Computing Series,1619-7127,https://www.springer.com/series/4190
