corpusid,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,PubMed,PubMedCentral,MAG,ACL,ArXiv,DBLP,DOI
9930113,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '73563253', 'CorpusId': '9930113', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/056ebf1ca5f3eb7b281f7344c99bd14db2212ff5,Red Gold - Raising Cochineal in Oaxaca,"[{'authorId': '144248839', 'name': 'Eric Santiago'}, {'authorId': '113026546', 'name': 'H. Lozano'}]",,,2010,9,1,0,False,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Art', 'source': 'external'}]",,,"{'name': '', 'pages': None, 'volume': ''}",,,73563253,,,,
65325816,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2771927260', 'CorpusId': '65325816', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/cb563e75108895265cb1a78459bb042c547650f6,A method for determining the position of a paper machine body and a measuring apparatus used in the method,"[{'authorId': '72697991', 'name': 'K. Koivisto'}, {'authorId': '2095897249', 'name': 'Vesa Rautiainen'}]",,,2006,0,0,0,False,"[{'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}]",,2006-09-06,"{'name': '', 'pages': None, 'volume': ''}",,,2771927260,,,,
253618518,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '253618518', 'PubMed': None, 'DOI': '10.1079/cabicompendium.102375', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/d03611df4434a7cf3118e252ff41559dc0c83337,Glugoides,[],CABI Compendium,5749d807-7b13-4dd9-8b3d-38479eabfa96,2022,0,0,0,False,,,2022-01-07,"{'name': 'CABI Compendium', 'pages': None, 'volume': None}",,,,,,,10.1079/cabicompendium.102375
178887072,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2015181790', 'CorpusId': '178887072', 'PubMed': None, 'DOI': '10.1038/nature.2012.10102', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/b4f25a121d0aea581884ee26d55ab8402fbb4774,Indian science adviser caught up in plagiarism row,"[{'authorId': '145831917', 'name': 'K. Jayaraman'}]",Nature,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,2012,2,6,0,False,"[{'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,2012-02-24,"{'name': 'Nature', 'pages': None, 'volume': None}",,,2015181790,,,,10.1038/nature.2012.10102
168917853,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2622851449', 'CorpusId': '168917853', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5ab691f72480bdc3cd878553eb1a184292bd65fb,Il progetto della friche per le periferie residenziali,"[{'authorId': '2717927', 'name': 'Annalisa Metta'}]",,,2013,0,0,0,False,,,,"{'name': '', 'pages': '57-64', 'volume': ''}",,,2622851449,,,,
171679629,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '171679629', 'PubMed': None, 'DOI': '10.1177/0040571X4404729014', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/530f2084152489d22e3b5e638252c951e41d4cbf,Book Review: The Destiny of Man,"[{'authorId': '118397342', 'name': 'R. Fuller'}]",,,1944,0,0,0,False,,['Review'],1944-08-01,"{'name': 'Theology', 'pages': '191 - 192', 'volume': '47'}",,,,,,,10.1177/0040571X4404729014
241084347,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '241084347', 'PubMed': None, 'DOI': '10.1017/9781108868280.002', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/359ec865f928c5f68b04c92518adac45dec5a4e6,Confessional Culture,[],Life after Privacy,,2020,0,0,0,False,,,2020-08-31,"{'name': 'Life after Privacy', 'pages': None, 'volume': None}",,,,,,,10.1017/9781108868280.002
16492375,"{'ACL': None, 'DBLP': None, 'ArXiv': 'hep-ph/9707368', 'MAG': '2041339020', 'CorpusId': '16492375', 'PubMed': None, 'DOI': '10.1016/S0920-5632(97)01110-9', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5ce5c12546a837f5d460b52ae966fa96941def17,A new look at hadronic B decays,"[{'authorId': '3323425', 'name': 'M. Neubert'}]",,,1997,31,3,0,True,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 'external'}]",,1997-07-17,"{'name': 'arXiv: High Energy Physics - Phenomenology', 'pages': '474-480', 'volume': '64'}",,,2041339020,,hep-ph/9707368,,10.1016/S0920-5632(97)01110-9
139856224,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2888223114', 'CorpusId': '139856224', 'PubMed': None, 'DOI': '10.31788/rjc.2018.1132098', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/cd74dd1102830d8236b13c50397f2fff0aa53e0b,HIGH PERFORMANCE LIQUID CHROMATOGRAPHY FOR α-MANGOSTIN ANALYSIS IN MANGOSTEEN PERICARP EXTRACT FOR ROUTINE ANALYSIS WITH PHOTODIODE ARRAY DETECTOR,"[{'authorId': '47421326', 'name': 'M. Muchtaridi'}, {'authorId': '2091818716', 'name': 'Moses Prasetio'}, {'authorId': '74317331', 'name': 'N. M. Saptarini'}, {'authorId': '51162569', 'name': 'F. A. Saputri'}]",,,2018,4,2,0,False,"[{'category': 'Chemistry', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,,"{'name': '', 'pages': '973-978', 'volume': '11'}",,,2888223114,,,,10.31788/rjc.2018.1132098
195728009,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2951167707', 'CorpusId': '195728009', 'PubMed': None, 'DOI': '10.2174/1874285801913010154', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/18e5c2d26ab0a3a43e7ff92c86332b58730e0aec,Taxonomic and Functional Annotation of Termite Degraded Butea monosperma (Lam.) Kuntze (Flame of the Forest),"[{'authorId': '36922449', 'name': 'Ashwani Kumar'}, {'authorId': '144063337', 'name': 'Preeti Vyas'}, {'authorId': '46246136', 'name': 'M. A. Malla'}, {'authorId': '2144065522', 'name': 'Anamika Dubey'}]",Open Microbiology Journal,d2d3f744-fc7d-42e8-9593-c8cfabdfd548,2019,51,10,0,False,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}]",,2019-05-31,"{'name': 'The Open Microbiology Journal', 'pages': None, 'volume': None}",,,2951167707,,,,10.2174/1874285801913010154
19135917,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1997358606', 'CorpusId': '19135917', 'PubMed': '20703889', 'DOI': '10.1007/s00701-010-0759-6', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/0e81aa5d4f65db34b783a20c7f5081e6e1ab7838,The first 3 months after BCNU wafers implantation in high-grade glioma patients: clinical and radiological considerations on a clinical series,"[{'authorId': '49633803', 'name': 'A. Della Puppa'}, {'authorId': '35419589', 'name': 'M. Rossetto'}, {'authorId': '6725301', 'name': 'P. Ciccarino'}, {'authorId': '2060811736', 'name': 'G. Moro'}, {'authorId': '7617386', 'name': 'A. Rotilio'}, {'authorId': '46214198', 'name': 'R. Manara'}, {'authorId': '88194904', 'name': 'Marina Paola Gardiman'}, {'authorId': '3192862', 'name': 'L. Denaro'}, {'authorId': '7642730', 'name': ""D. d'Avella""}, {'authorId': '6949201', 'name': 'R. Scienza'}]",Acta Neurochirurgica,e7a63f54-f18c-4f5c-8d7a-eaa39097458d,2010,24,25,1,False,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]","['JournalArticle', 'ClinicalTrial']",2010-08-13,"{'name': 'Acta Neurochirurgica', 'pages': '1923-1931', 'volume': '152'}",20703889,,1997358606,,,,10.1007/s00701-010-0759-6
57163336,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2329096737', 'CorpusId': '57163336', 'PubMed': None, 'DOI': '10.1021/AC60155A018', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/f84d070af0fcfe7d07fa537819eab644f826bbae,Spectrophotometric titration of water in acetic acid,"[{'authorId': '91299532', 'name': 'S. Bruckenstein'}]",,,1959,7,3,0,False,"[{'category': 'Chemistry', 'source': 's2-fos-model'}, {'category': 'Chemistry', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}]",,1959-11-01,"{'name': 'Scopus', 'pages': None, 'volume': ''}",,,2329096737,,,,10.1021/AC60155A018
271178615,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '271178615', 'PubMed': None, 'DOI': '10.3406/austr.1977.1838', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/e3057c6d424a40e3f455c28a5e795e78f7a704ce,Réflexions sur la musique autrichienne,"[{'authorId': '2311281229', 'name': 'Gustave Kars'}]",Austriaca,63d41e09-8280-440a-b7dc-2b08fc39bb8d,1977,0,0,0,False,,['JournalArticle'],,"{'name': 'Austriaca', 'pages': None, 'volume': None}",,,,,,,10.3406/austr.1977.1838
128776622,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1551961979', 'CorpusId': '128776622', 'PubMed': None, 'DOI': '10.2307/2208315', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/2a246a777a26d96bd1901252f64f74779d3d6413,South Carolina colonial land policies,"[{'authorId': '104981723', 'name': 'Robert K. Ackerman'}]",,,1977,0,11,0,False,"[{'category': 'History', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Geography', 'source': 'external'}]",,,,,,1551961979,,,,10.2307/2208315
45881439,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2414307570', 'CorpusId': '45881439', 'PubMed': '1764893', 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/edbea8501a63f21ab147ec7e4017988bc82768fd,"Specific reading disability in children: etiology, diagnosis and intervention.","[{'authorId': '46498904', 'name': 'K. Lecluyse'}, {'authorId': '118054347', 'name': 'M. Williams'}, {'authorId': '1403993288', 'name': 'A. Rock-Faucheux'}]",Comprehensive therapy,fe10cbb2-8959-43be-bd04-09c82e5378eb,1991,0,1,0,False,"[{'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],1991-10-01,"{'name': 'Comprehensive therapy', 'pages': '\n          3-6\n        ', 'volume': '17 10'}",1764893,,2414307570,,,,
234561917,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3114394939', 'CorpusId': '234561917', 'PubMed': None, 'DOI': '10.1088/1757-899X/932/1/012048', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/c7a89c568b7389de78fd5df6681c65c33b4f39df,Surface Water Treatment with Natural Starches as Coagulant via Coagulation Process,"[{'authorId': '47403187', 'name': 'N. Zainol'}, {'authorId': '1381437838', 'name': 'S. Bakar'}, {'authorId': '89135405', 'name': 'S. N. Zailani'}, {'authorId': '96295048', 'name': 'A. A. Ghani'}, {'authorId': '2106577105', 'name': 'K. S. Ahmad Sohaimi'}]",IOP Conference Series: Materials Science and Engineering,,2020,7,5,0,False,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Chemistry', 'source': 'external'}]",['Conference'],2020-12-18,"{'name': 'IOP Conference Series: Materials Science and Engineering', 'pages': None, 'volume': '932'}",,,3114394939,,,,10.1088/1757-899X/932/1/012048
240775538,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '240775538', 'PubMed': None, 'DOI': '10.1287/orms.2012.03.19in', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/ae088f56d13e3ed4f3c27fb4c9617b8f5bcc7dcf,Booz Allen earns Innovation in Analytics Award,[],"Volume 39, Number 3, June 2012",,2019,0,0,0,False,,,2019-09-03,"{'name': 'Volume\xa039, Number\xa03, June\xa02012', 'pages': None, 'volume': None}",,,,,,,10.1287/orms.2012.03.19in
237842496,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3173568419', 'CorpusId': '237842496', 'PubMed': None, 'DOI': '10.4000/books.efr.7802', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/c14ce3ff6d5165f6534709cbab53a8c07e4915ab,Le marché des matières premières dans l’Antiquité et au Moyen Âge,"[{'authorId': '100519542', 'name': 'Didier Boisseuil'}, {'authorId': '27277333', 'name': 'Christian Rico'}, {'authorId': '2076865187', 'name': 'Sauro Gelichi'}]",,,2021,0,0,0,False,,,2021-06-16,"{'name': '', 'pages': None, 'volume': ''}",,,3173568419,,,,10.4000/books.efr.7802
28199803,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2150479957', 'CorpusId': '28199803', 'PubMed': '18158617', 'DOI': '10.1007/S10508-007-9297-6', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/a165bbcd1b4e168beac768f58d4e6778a89e53b0,Why the Human Penis is Larger than in the Great Apes,"[{'authorId': '15212369', 'name': 'Edwin A Bowman'}]",Archives of Sexual Behavior,f4cc4e7f-1e5d-4380-a81f-a90d0c945282,2008,0,5,0,False,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]",['LettersAndComments'],2008-06-01,"{'name': 'Archives of Sexual Behavior', 'pages': '361', 'volume': '37'}",18158617,,2150479957,,,,10.1007/S10508-007-9297-6
67774686,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2101628805', 'CorpusId': '67774686', 'PubMed': None, 'DOI': '10.1017/S014338570000941X', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6dd6309f36d18e4706995159a87eb7ba91884630,Mappings and homological properties in the Conley index theory,"[{'authorId': '51121784', 'name': 'C. McCord'}]",Ergodic Theory and Dynamical Systems,b87ce56a-c1bf-469d-b1b2-4bc9b9847813,1988,11,43,3,True,"[{'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 'external'}]",,1988-12-01,"{'name': 'Ergodic Theory and Dynamical Systems', 'pages': '175 - 198', 'volume': '8'}",,,2101628805,,,,10.1017/S014338570000941X
235530281,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3159614427', 'CorpusId': '235530281', 'PubMed': None, 'DOI': '10.1016/J.POWTEC.2021.04.046', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/0ccb5be0b0507abb501b485752ed1ba403e1a03f,Numerical investigation of the penetrating gas flow into particle clusters for circulating fluidized beds,"[{'authorId': '7621449', 'name': 'Xiaoyang Wei'}, {'authorId': '144297332', 'name': 'J. Weber'}, {'authorId': '1891156', 'name': 'R. Breault'}]",,,2021,41,3,0,False,"[{'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,2021-04-24,"{'name': 'Powder Technology', 'pages': '442-449', 'volume': '388'}",,,3159614427,,,,10.1016/J.POWTEC.2021.04.046
138199703,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2366720007', 'CorpusId': '138199703', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/e6d7a252c4768a613c813ad70f05f917acf349f6,RAW MEALS CONTAINING TRACE RE OXIDES TO IMPROVE QUALITY OF CEMENT CLINKER,"[{'authorId': '123550987', 'name': 'Gao Dehu'}]",,,2000,0,0,0,False,"[{'category': 'Materials Science', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,,"{'name': '', 'pages': None, 'volume': ''}",,,2366720007,,,,
153146977,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1523759387', 'CorpusId': '153146977', 'PubMed': None, 'DOI': '10.2753/PET1061-1991560205', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/8dd5247ea5be1579526e4e212a8a2f48a2b08f0e,Russian Financial Development Institutions,"[{'authorId': '119476789', 'name': 'Iu. Simachev'}, {'authorId': '152260244', 'name': 'M. Kuzyk'}, {'authorId': '2239351978', 'name': 'Denis Ivanov'}]",,,2013,23,7,0,False,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 'external'}]",,2013-06-01,"{'name': 'Problems of Economic Transition', 'pages': '66 - 95', 'volume': '56'}",,,1523759387,,,,10.2753/PET1061-1991560205
247834289,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '247834289', 'PubMed': None, 'DOI': '10.15862/05mevv319', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/a9c85ca0519241bdea0483d7779e02eb67f4faa8,Mobilization modernization of the industry of the Russian Federation — a strategic direction of the import substitution process,"[{'authorId': '133550806', 'name': 'A. Abdulkadyrov'}]",Military economic bulletin,930d256a-876a-46ba-9dcb-42144ce956df,2019,0,0,0,False,,,2019-06-01,"{'name': 'Military economic bulletin', 'pages': None, 'volume': None}",,,,,,,10.15862/05mevv319
142083861,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '1491776832', 'CorpusId': '142083861', 'PubMed': None, 'DOI': '10.1108/09504120610672809', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/1ca036c2e32a3607b8348e810c86e0b66c480965,An Eponymous Dictionary of Economics: A Guide to Laws and Theorems Named after Economists,"[{'authorId': '1745753', 'name': 'S. Hannabuss'}]",,,2006,3,10,0,False,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 'external'}]",,2006-07-01,"{'name': '', 'pages': '19-20', 'volume': '20'}",,,1491776832,,,,10.1108/09504120610672809
252693062,"{'ACL': None, 'DBLP': None, 'ArXiv': '2210.01503', 'MAG': None, 'CorpusId': '252693062', 'PubMed': '37201103', 'DOI': '10.1038/s41378-023-00528-w', 'PubMedCentral': '10185468'}",https://www.semanticscholar.org/paper/a43b947fcd431b26851214c699359da5557f7ade,Dynamic control of high-voltage actuator arrays by light-pattern projection on photoconductive switches,"[{'authorId': '117479959', 'name': 'Vesna Bacheva'}, {'authorId': '2406257', 'name': 'A. Firouzeh'}, {'authorId': '144250883', 'name': 'E. Leroy'}, {'authorId': '1380937202', 'name': 'Aiste Balciunaite'}, {'authorId': '144502753', 'name': 'D. Dávila'}, {'authorId': '2051334740', 'name': 'I. Gabay'}, {'authorId': '14870528', 'name': 'Federico Paratore'}, {'authorId': '5429967', 'name': 'M. Bercovici'}, {'authorId': '143630447', 'name': 'H. Shea'}, {'authorId': '3316600', 'name': 'G. Kaigala'}]",Microsystems & Nanoengineering,ed22f308-fa1b-4405-acf9-f2f615f11e5a,2022,35,2,0,False,"[{'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}]",['JournalArticle'],2022-10-04,"{'name': 'Microsystems & Nanoengineering', 'pages': None, 'volume': '9'}",37201103,10185468,,,2210.01503,,10.1038/s41378-023-00528-w
201659424,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2971316923', 'CorpusId': '201659424', 'PubMed': '31468069', 'DOI': '10.1007/s00105-019-04471-8', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/3f62122be7825b3d608e1afca5e60388740c462b,Atypisches Fibroxanthom und pleomorphes dermales Sarkom,"[{'authorId': '47259450', 'name': 'M. Ziemer'}, {'authorId': '2085724904', 'name': 'I. Jäger'}, {'authorId': '2072466977', 'name': 'E. Dippel'}]",Der Hautarzt,b9de2881-79b9-4ff6-8d1d-0c0e3217437a,2019,24,9,0,False,,"['Review', 'JournalArticle']",2019-08-29,"{'name': 'Der Hautarzt', 'pages': '661 - 669', 'volume': '70'}",31468069,,2971316923,,,,10.1007/s00105-019-04471-8
64687638,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2605902013', 'CorpusId': '64687638', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/4efe922465ff43d09a1f899451e2b231040a1b74,Bumpless transfer with and without controller uncertainty: Resolution of key implementation issues,"[{'authorId': '2052687827', 'name': 'K. Zheng'}, {'authorId': '2185953', 'name': 'J. Bentsman'}, {'authorId': '2614213', 'name': 'C. Taft'}]",,,2007,0,0,0,False,"[{'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}]",,2007-12-01,"{'name': '', 'pages': '60-81', 'volume': ''}",,,2605902013,,,,
42152825,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2412808970', 'CorpusId': '42152825', 'PubMed': '6588365', 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/b47406fc6d1470e1d28a2627e2466e8e39c3406a,"[Use of the ""soccu"" chewing stick in Senegal].","[{'authorId': '49565702', 'name': 'N. Ndiaye'}, {'authorId': '49582289', 'name': 'J. Moreau'}]",Odonto-stomatologie tropicale = Tropical dental journal,5e8bcac0-3e20-4d22-bc25-8033053718a0,1983,0,0,0,False,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],1983-12-01,"{'name': 'Odonto-stomatologie tropicale = Tropical dental journal', 'pages': '\n          189-92\n        ', 'volume': '6 4'}",6588365,,2412808970,,,,
110369551,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2203510876', 'CorpusId': '110369551', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/212990cee7122afb0f99c03be800fe3e616f26f4,컨테이너 크레인의 흔들림 제어,"[{'authorId': '82823014', 'name': '박배정'}, {'authorId': '70074767', 'name': '홍금식'}]",,,1998,0,0,0,False,,,1998-05-01,"{'name': '', 'pages': '514-517', 'volume': ''}",,,2203510876,,,,
154462421,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2065194194', 'CorpusId': '154462421', 'PubMed': None, 'DOI': '10.1017/S0008423900048769', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/1450c4bade3f9f60173b0c552f2c032ee60e9df1,"Denis Smith, Gentle Patriot – A Political Biography of Walter Gordon . Edmonton: Hurtig Publishers, 1973, pp. 416.","[{'authorId': '100838946', 'name': 'M. Donnelly'}]",Canadian Journal of Political Science/Revue canadienne de science politique,a27a4103-8b57-448a-a8ac-745eb7df9345,1974,0,0,0,False,"[{'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'History', 'source': 's2-fos-model'}, {'category': 'Art', 'source': 'external'}]",,1974-12-01,"{'name': 'Canadian Journal of Political Science', 'pages': '737 - 738', 'volume': '7'}",,,2065194194,,,,10.1017/S0008423900048769
185412623,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2557927361', 'CorpusId': '185412623', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/fa79c0adff3cd17fff98046c7e9b1895c1ca794c,인간과 자연 - 환경문제의 개관 및 환경논리의 제언 -,"[{'authorId': '66611735', 'name': '이경호'}]",,,1985,0,0,0,False,,,,"{'name': '', 'pages': '16-21', 'volume': '7'}",,,2557927361,,,,
227697209,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3081079947', 'CorpusId': '227697209', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/7790747e3d47bea6bf4d10c7a5199095f0d11152,Faut-il un Président aux Français ?,"[{'authorId': '91313294', 'name': 'F. Mitterrand'}]",,,1988,0,0,0,False,,,,"{'name': '', 'pages': '169-176', 'volume': ''}",,,3081079947,,,,
